platform,category_group,lifespan_bucket,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap
polymarket,Entertainment,>180d,32,4,0.009753123479252897,-0.005690591369973811,-0.009151831021763975,0.013000102749693076
polymarket,Esports,1-6h,361,8,0.009076124595005947,0.0020298948107677055,0.0062927376262760844,-0.0026776140717494593
polymarket,Esports,6-24h,2667,20,0.00886201948261319,-0.005007354476295547,-0.0026396649933368246,0.00032251263700145056
polymarket,Esports,1-7d,3146,20,0.010830942381060246,-0.003446706074343705,-0.0003345789375920692,-0.001942574783112415
polymarket,Esports,7-30d,475,19,0.023610047721462944,-0.0015603228910332754,0.005500888422901528,-0.0037464164436024692
polymarket,Esports,30-180d,10,2,0.05281077906976743,-0.05281077906976743,-0.00222222222222221,
polymarket,Finance,1-6h,7,5,0.49571428571428583,-0.37,,
polymarket,Finance,6-24h,32,11,0.1361293321791996,-0.08273162630121438,-0.005841101190476155,0.03072721567462731
polymarket,Finance,1-7d,365,20,0.05760478339544314,0.0085153063387042,0.008450097760501454,0.01760676235175747
polymarket,Finance,7-30d,470,20,0.04405589851998458,-0.004556361673856896,-0.004264317260438757,-0.026605616728456703
polymarket,Finance,30-180d,533,20,0.029078277684555915,0.0018275647904554073,0.0035709306811121657,0.0030511013831412996
polymarket,Finance,>180d,97,3,0.004348468280447559,0.0017116518046868894,-0.0019087402846924247,0.0035833042803110615
polymarket,Health,1-6h,5,5,0.26378478294811925,-0.017287936648626247,,0.11041826937933996
polymarket,Health,6-24h,29,10,0.17893303052415221,-0.0072182162735237795,,0.13435057256996996
polymarket,Health,1-7d,109,20,0.1229260171684397,0.045270731970653406,-0.03532264551967867,-0.03268585671752974
polymarket,Health,7-30d,352,19,0.04715947674658724,-0.007635471468932161,-0.005603753016810445,-0.01020118865531084
polymarket,Health,30-180d,75,12,0.04666907418417565,-0.011057609961878304,-0.008135732484105294,0.00881201588516051
polymarket,Health,>180d,19,3,0.05363157099146073,-0.047315782457250224,-0.0010000202733770323,-0.11874995941279509
polymarket,Other,<=1h,119,8,0.11306994818982637,0.05475128068225999,-0.065,-0.74
polymarket,Other,1-6h,2047,20,0.019475142043233182,-0.00836488466344458,0.011784858401419775,-0.036177924269178034
polymarket,Other,6-24h,10855,20,0.012841216878665409,-0.009610002677709317,0.0046244890035953235,-0.020994878779567988
polymarket,Other,1-7d,28705,20,0.014924323682208734,-0.010058882585317112,0.001351298279047824,-0.03125111810811794
polymarket,Other,7-30d,37842,20,0.006828939864926682,-0.004403484759995199,-0.0014263235877585243,-0.010188156584636522
polymarket,Other,30-180d,7977,20,0.005440732536010777,-0.0022407042655206316,-0.0011619022801181726,-0.009053669569790609
polymarket,Other,>180d,1941,17,0.004604586785067609,-0.0007977087534397703,-0.002042151694664857,0.0010754062757331053
polymarket,Politics,1-6h,127,20,0.20079942118629557,-0.0778970215826676,0.010225586750713342,-0.35642777390973257
polymarket,Politics,6-24h,833,20,0.05873770578228749,-0.03433019144579842,-0.02706664231276943,-0.02070230655000924
polymarket,Politics,1-7d,3160,20,0.030620128484944782,-0.027439222251051543,-0.00906546766036824,-0.028182033723790495
polymarket,Politics,7-30d,2133,20,0.01836430189636854,-0.00011629102960912748,0.0036187454403755178,-0.007670011987215581
polymarket,Politics,30-180d,2443,20,0.012202965705683326,0.00010895033014321617,-0.0048494083054222035,0.006565253085470064
polymarket,Politics,>180d,1395,20,0.013354858357071576,-0.005776021065799398,-0.0046766363703173485,0.00685753818271166
