platform,lifespan_bucket,horizon_label,horizon_hours,life_stage_index,life_stage_bucket,market_count,mean_abs_move_to_final_cents,median_abs_move_to_final_cents,p90_abs_move_to_final_cents,mean_signed_move_to_final_cents,median_staleness_age_hours
polymarket,1-7d,1d,24.0,5,50-60%,4664,14.98079446295263,3.5011016346837236,49.900000000000006,0.12073084045866106,1.9537499999999994
polymarket,1-7d,1d,24.0,6,60-70%,5253,10.54406099592232,2.0000109200024028,44.899998424999495,-0.17283213179720094,4.8825
polymarket,1-7d,1d,24.0,7,70-80%,8895,8.339568474795762,1.9999627399426174,30.900000000000006,-0.28770226260243675,4.511388888888888
polymarket,1-7d,1d,24.0,8,80-90%,17057,9.14043710945801,1.6000000000000056,30.900000000000006,-0.1934213684599583,0.8066666666666684
polymarket,1-7d,6h,6.0,0,0-10%,1233,31.613880261613442,48.0,50.0,-0.5512076222699464,18.07472222222222
polymarket,1-7d,6h,6.0,1,10-20%,708,14.14453958462455,0.0,49.999986918491565,2.5978040473238413,59.56236111111111
polymarket,1-7d,6h,6.0,2,20-30%,722,14.522372276760661,0.0,49.999983152989,-0.6572423216058162,52.81861111111111
polymarket,1-7d,6h,6.0,3,30-40%,1021,14.609516245054571,0.0,49.900000000000006,-0.11175311049238902,36.94083333333333
polymarket,1-7d,6h,6.0,4,40-50%,1485,19.789945258026037,1.0000032500011429,49.99999823461531,-1.750009606340345,21.07472222222222
polymarket,1-7d,6h,6.0,5,50-60%,2651,22.728157108693456,4.999997269999483,49.99999853374986,0.9036964219743625,15.226388888888888
polymarket,1-7d,6h,6.0,6,60-70%,4854,24.40425681198184,12.000004760000762,49.999999107499974,0.7562543499250844,9.671944444444444
polymarket,1-7d,6h,6.0,7,70-80%,12266,22.10958824204466,5.400000000000006,49.99999785799987,0.007804892676549609,2.661666666666667
polymarket,1-7d,6h,6.0,8,80-90%,23180,20.16626037880105,4.999998191848858,49.9999956649982,-0.3175920477124827,1.1343055555555552
polymarket,1-7d,6h,6.0,9,90-100%,30578,7.126038225359639,1.0,25.900000000000006,-0.10033696226135723,0.5459722222222223
polymarket,1-7d,1h,1.0,0,0-10%,563,15.300055704220215,0.0,49.99999143991457,-0.43556399362333165,67.48416666666667
polymarket,1-7d,1h,1.0,1,10-20%,475,2.913226935684379,0.0,0.0,0.25182263134864774,93.34805555555556
polymarket,1-7d,1h,1.0,2,20-30%,474,4.362236616955992,0.0,2.9193761336034325,-1.2331626345693374,93.14194444444445
polymarket,1-7d,1h,1.0,3,30-40%,665,4.794681334881121,0.0,6.943141845713652,-0.10871929386632605,66.36333333333333
polymarket,1-7d,1h,1.0,4,40-50%,746,4.999797073596927,0.0,9.604985547388708,0.0944714098922552,67.80152777777778
polymarket,1-7d,1h,1.0,5,50-60%,1138,5.216616211795809,0.0,32.97531072596976,0.09533756083429992,42.14527777777778
polymarket,1-7d,1h,1.0,6,60-70%,1580,5.176591623835721,0.0,26.090001927800238,0.12792356175398856,25.14736111111111
polymarket,1-7d,1h,1.0,7,70-80%,2651,8.792750146259259,0.0,49.0,0.3410456128319578,13.239166666666666
polymarket,1-7d,1h,1.0,8,80-90%,6909,12.400975342423623,0.0,49.0,0.44718494475963505,4.936388888888889
polymarket,1-7d,1h,1.0,9,90-100%,86783,19.09552491831356,2.0,49.999999107499974,0.025187823271988704,0.18888888888888888
polymarket,30-180d,30d,720.0,0,0-10%,2492,13.52890120158564,2.1500001173604675,47.86704177276441,-0.48722741157145316,18.51458333333329
polymarket,30-180d,30d,720.0,1,10-20%,1853,10.078715392223645,1.0000000000000058,35.879995679999574,-0.2207011552677995,48.20944444444444
polymarket,30-180d,30d,720.0,2,20-30%,1775,9.011944975300079,0.85,30.1049814392618,-1.3497610048537627,15.243055555555543
polymarket,30-180d,30d,720.0,3,30-40%,1116,10.37132422712441,1.4000000018750027,34.3499867914558,-1.2417268918314464,20.731666666666683
polymarket,30-180d,30d,720.0,4,40-50%,1084,8.797504115186506,1.0,26.99999763749923,-0.948514633190714,22.23888888888888
polymarket,30-180d,30d,720.0,5,50-60%,1207,8.957608188281762,1.906574943605861,25.677211155764773,-0.9655996120915044,9.449722222222249
polymarket,30-180d,30d,720.0,6,60-70%,1723,6.571750272037232,0.8000000000000057,18.900005313271816,-1.1293506306907695,23.940555555555534
polymarket,30-180d,30d,720.0,7,70-80%,1755,6.240051899139442,1.0000000000000058,18.850048708623017,-0.7134681011944008,16.320833333333326
polymarket,30-180d,30d,720.0,8,80-90%,473,7.928095912821626,1.6000000000000056,19.64000000000001,-0.6026861685236872,5.163611111111095
polymarket,30-180d,7d,168.0,0,0-10%,900,0.15161426505911135,0.0,0.0,-0.12526528271026338,1776.643611111111
polymarket,30-180d,7d,168.0,1,10-20%,895,0.1069563225908021,0.0,0.0,-0.039656179469332364,1327.0125
polymarket,30-180d,7d,168.0,2,20-30%,746,0.19543670522752235,0.0,0.0,-0.1954367052275223,1038.9959722222222
polymarket,30-180d,7d,168.0,3,30-40%,529,0.2822831703591681,0.0,0.0,-0.005807566880907673,547.1455555555556
polymarket,30-180d,7d,168.0,4,40-50%,559,0.6886449618380459,0.0,0.0,0.06146806740609456,525.0855555555555
polymarket,30-180d,7d,168.0,5,50-60%,430,0.7788827474835872,0.0,0.0,-0.037350004346089115,338.28319444444446
polymarket,30-180d,7d,168.0,6,60-70%,1317,0.9176363403012799,0.0,0.3999999999999994,-0.21558511940420008,475.7441666666666
polymarket,30-180d,7d,168.0,7,70-80%,2981,5.458445612219047,0.49999999999999434,15.0,-0.7062122844755515,12.143611111111113
polymarket,30-180d,7d,168.0,8,80-90%,3577,5.0158628987681,0.6468631765257554,13.704616123620788,-0.30413556915159345,5.354444444444454
polymarket,30-180d,7d,168.0,9,90-100%,2827,3.375483267160081,0.4000000000000057,7.498483908697407,-0.5357093662936463,5.379166666666663
polymarket,30-180d,3d,72.0,0,0-10%,894,0.06599541275078498,0.0,0.0,-0.04138713713593325,1873.6794444444445
polymarket,30-180d,3d,72.0,1,10-20%,889,0.056947028929997597,0.0,0.0,0.010807333380143466,1439.4952777777778
polymarket,30-180d,3d,72.0,2,20-30%,735,0.0002717012248940305,0.0,0.0,-0.0002717012248940305,1155.2347222222222
polymarket,30-180d,3d,72.0,3,30-40%,511,0.14716242661448142,0.0,0.0,0.11624266144814088,637.9805555555556
polymarket,30-180d,3d,72.0,4,40-50%,543,0.36813996177163605,0.0,0.0,-0.01491712636832208,642.2333333333333
polymarket,30-180d,3d,72.0,5,50-60%,402,0.1888770541954552,0.0,0.0,-0.1888770541954552,439.48055555555555
polymarket,30-180d,3d,72.0,6,60-70%,1174,0.20528667912500026,0.0,0.0,-0.20511632137372257,573.9658333333333
polymarket,30-180d,3d,72.0,7,70-80%,962,0.6066769007671894,0.0,0.0,-0.01451200643932798,256.91263888888886
polymarket,30-180d,3d,72.0,8,80-90%,2008,1.9470509155173623,0.0,3.9000000000000057,-0.48953470271891075,67.99986111111112
polymarket,30-180d,3d,72.0,9,90-100%,6678,3.333334374565638,0.30000000000001137,7.400000382307649,-0.17848123972372065,3.2120833333333323
polymarket,30-180d,1d,24.0,0,0-10%,892,0.0,0.0,0.0,0.0,1922.381388888889
polymarket,30-180d,1d,24.0,1,10-20%,887,0.05064927235619783,0.0,0.0,0.0172578619095467,1497.6763888888888
polymarket,30-180d,1d,24.0,2,20-30%,735,0.0002717012248940305,0.0,0.0,-0.0002717012248940305,1203.2347222222222
polymarket,30-180d,1d,24.0,3,30-40%,506,0.0,0.0,0.0,0.0,687.4347222222223
polymarket,30-180d,1d,24.0,4,40-50%,541,0.3656192222587771,0.0,0.0,-0.01848428764879648,690.5072222222223
polymarket,30-180d,1d,24.0,5,50-60%,397,0.07110471392587267,0.0,0.0,-0.07110471392587267,495.1297222222222
polymarket,30-180d,1d,24.0,6,60-70%,1146,0.007024900848848302,0.0,0.0,-0.007024900848848302,627.4633333333334
polymarket,30-180d,1d,24.0,7,70-80%,902,0.14279934336763725,0.0,0.0,-0.05619263018715976,326.85749999999996
polymarket,30-180d,1d,24.0,8,80-90%,1250,0.2037760925541214,0.0,0.0,-0.03914498852517681,147.78222222222223
polymarket,30-180d,1d,24.0,9,90-100%,7570,2.1095548055623303,0.10000000000000853,4.0,-0.15766114792034747,4.169583333333334
polymarket,30-180d,6h,6.0,0,0-10%,892,0.0,0.0,0.0,0.0,1940.381388888889
polymarket,30-180d,6h,6.0,1,10-20%,885,0.0340302983580313,0.0,0.0,0.0340302983580313,1515.6775
polymarket,30-180d,6h,6.0,2,20-30%,735,0.0002717012248940305,0.0,0.0,-0.0002717012248940305,1221.2347222222222
polymarket,30-180d,6h,6.0,3,30-40%,506,0.0,0.0,0.0,0.0,705.4347222222223
polymarket,30-180d,6h,6.0,4,40-50%,539,0.3539888675658618,0.0,0.0,-0.005565862697588165,720.2791666666667
polymarket,30-180d,6h,6.0,5,50-60%,396,0.07052669552669556,0.0,0.0,-0.07052669552669556,527.6961111111111
polymarket,30-180d,6h,6.0,6,60-70%,1143,0.004286964195275625,0.0,0.0,-0.004286964195275625,645.8875
polymarket,30-180d,6h,6.0,7,70-80%,892,0.0015878500014962491,0.0,0.0,-0.0015878500014962491,348.5648611111111
polymarket,30-180d,6h,6.0,8,80-90%,1194,0.04676068995542936,0.0,0.0,0.001062710468931809,168.225
polymarket,30-180d,6h,6.0,9,90-100%,7733,1.6065611742089598,0.0,2.0000050589350407,-0.16108858369487072,3.5822222222222226
polymarket,30-180d,1h,1.0,0,0-10%,892,0.0,0.0,0.0,0.0,1945.381388888889
polymarket,30-180d,1h,1.0,1,10-20%,883,0.0,0.0,0.0,0.0,1520.6863888888888
polymarket,30-180d,1h,1.0,2,20-30%,735,0.0002717012248940305,0.0,0.0,-0.0002717012248940305,1226.2347222222222
polymarket,30-180d,1h,1.0,3,30-40%,506,0.0,0.0,0.0,0.0,710.4347222222223
polymarket,30-180d,1h,1.0,4,40-50%,537,0.0,0.0,0.0,0.0,728.1686111111111
polymarket,30-180d,1h,1.0,5,50-60%,393,0.0,0.0,0.0,0.0,511.1958333333333
polymarket,30-180d,1h,1.0,6,60-70%,1142,0.0,0.0,0.0,0.0,650.6791666666667
polymarket,30-180d,1h,1.0,7,70-80%,887,0.0,0.0,0.0,0.0,355.27916666666664
polymarket,30-180d,1h,1.0,8,80-90%,1180,0.013344448019591913,0.0,0.0,-0.013344448019591913,174.91000000000003
polymarket,30-180d,1h,1.0,9,90-100%,7770,0.9300875392313064,0.0,0.7,-0.1439938311269921,3.3244444444444445
polymarket,6-24h,6h,6.0,0,0-10%,475,15.217453811174897,3.0000022985715944,49.999983169988724,-0.8320952515710733,2.6866666666666674
polymarket,6-24h,6h,6.0,1,10-20%,701,11.040875118403408,3.0,44.90000275000124,0.14688958913224487,2.179722222222223
