platform,horizon_label,horizon_hours,freshness_filter,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,3d,72.0,<=1h,5,7.5,5-10,758,43,0.05672823218997362,0.06799472295514512,-0.011266490765171507,0.042385682186951525,0.07554119395108033
kalshi,3d,72.0,<=1h,10,12.5,10-15,591,62,0.10490693739424704,0.11949238578680203,-0.01458544839255499,0.08270081498780962,0.13221623183608433
kalshi,3d,72.0,<=1h,15,17.5,15-20,488,61,0.125,0.16887295081967213,-0.04387295081967213,0.09855437245764542,0.15730361108827667
kalshi,3d,72.0,<=1h,20,22.5,20-25,417,83,0.19904076738609114,0.21918465227817743,-0.020143884892086295,0.16354113605350862,0.2400349362739419
kalshi,3d,72.0,<=1h,25,27.5,25-30,394,109,0.2766497461928934,0.26880710659898477,0.007842639593908629,0.23479531137800685,0.322817567717593
kalshi,3d,72.0,<=1h,30,32.5,30-35,360,110,0.3055555555555556,0.3194166666666667,-0.013861111111111102,0.2602311139770829,0.3549860574513629
kalshi,3d,72.0,<=1h,35,37.5,35-40,348,114,0.3275862068965517,0.3696551724137931,-0.042068965517241375,0.28039111545459144,0.37854631548023826
kalshi,3d,72.0,<=1h,40,42.5,40-45,317,143,0.45110410094637227,0.4197791798107256,0.031324921135646666,0.39723688158686876,0.5061422313461176
kalshi,3d,72.0,<=1h,45,47.5,45-50,420,191,0.45476190476190476,0.47088095238095234,-0.01611904761904759,0.4077634927689591,0.5025803715426139
kalshi,3d,72.0,<=1h,50,52.5,50-55,408,202,0.4950980392156863,0.5181617647058823,-0.023063725490195974,0.4468556446444029,0.5434318833760787
kalshi,3d,72.0,<=1h,55,57.5,55-60,329,178,0.541033434650456,0.5685410334346505,-0.02750759878419451,0.4870224874953019,0.5940971802385391
kalshi,3d,72.0,<=1h,60,62.5,60-65,332,216,0.6506024096385542,0.6187349397590362,0.03186746987951805,0.5978580827777537,0.6999013371392547
kalshi,3d,72.0,<=1h,65,67.5,65-70,301,191,0.6345514950166113,0.670498338870432,-0.03594684385382063,0.5787706112542178,0.6869411551188757
kalshi,3d,72.0,<=1h,70,72.5,70-75,278,185,0.6654676258992805,0.7201079136690648,-0.054640287769784246,0.6080807478350297,0.7183437402462186
