category_group,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
Sports,25,27.5,25-30,6487,1411,0.21751194697086482,0.26927084939108986,-0.051758902420225045,0.20764115954873147,0.22771711510089176
Sports,30,32.5,30-35,4759,1144,0.2403866358478672,0.31741542340827905,-0.07702878756041184,0.22845825865998512,0.252733809537286
Sports,35,37.5,35-40,4054,1139,0.2809570794277257,0.3686581154415392,-0.08770103601381352,0.26733341262161786,0.2949954865645899
Sports,40,42.5,40-45,3106,1015,0.3267868641339343,0.4192659368963297,-0.09247907276239536,0.31051419701476357,0.343487473038142
Sports,45,47.5,45-50,2851,1035,0.3630305156085584,0.4686776569624693,-0.1056471413539109,0.3455739720258752,0.38085568347585214
Sports,50,52.5,50-55,1884,749,0.3975583864118896,0.5169532908704884,-0.11939490445859874,0.3756893107661324,0.41984438231489724
Sports,55,57.5,55-60,1065,457,0.4291079812206573,0.568037558685446,-0.13892957746478873,0.3996888068017532,0.45903675178428993
Sports,60,62.5,60-65,737,364,0.49389416553595655,0.6196472184531886,-0.12575305291723204,0.45792344978262006,0.5299282043361551
Sports,65,67.5,65-70,520,260,0.5,0.6697884615384615,-0.1697884615384615,0.45718202901059124,0.5428179709894088
Sports,70,72.5,70-75,313,183,0.5846645367412141,0.7198402555910544,-0.13517571884984025,0.5293672900396418,0.6379087242211119
Sports,75,77.5,75-80,361,218,0.6038781163434903,0.7693905817174514,-0.16551246537396114,0.5525852148578301,0.652983448364785
Sports,80,82.5,80-85,343,260,0.7580174927113703,0.8174052478134111,-0.05938775510204075,0.7099956162272973,0.8003237918252546
Sports,85,87.5,85-90,231,179,0.7748917748917749,0.8689610389610389,-0.09406926406926408,0.7167884391421567,0.8240016082770397
Sports,90,92.5,90-95,675,613,0.9081481481481481,0.927911111111111,-0.01976296296296287,0.8839892701122292,0.9276875628927015
Sports,95,97.5,95-100,30604,30464,0.9954254345837146,0.9883577310155535,0.00706770356816111,0.9946047055333785,0.9961218016241861
Weather,0,2.5,0-5,21085,33,0.0015650936684847047,0.012352857481622006,-0.010787763813137301,0.00111468808839653,0.0021970917297988897
Weather,5,7.5,5-10,1128,20,0.01773049645390071,0.06538120567375887,-0.04765070921985816,0.01150660500024885,0.027228143749046103
Weather,10,12.5,10-15,475,27,0.056842105263157895,0.1143578947368421,-0.05751578947368421,0.0393559040310361,0.08143894754409856
Weather,15,17.5,15-20,352,37,0.10511363636363637,0.16522727272727272,-0.060113636363636355,0.07722586348035722,0.14152764931859602
Weather,20,22.5,20-25,241,39,0.16182572614107885,0.2171369294605809,-0.05531120331950207,0.12069536461252127,0.21356809388472753
Weather,25,27.5,25-30,176,37,0.21022727272727273,0.26551136363636363,-0.055284090909090894,0.15654289553782377,0.2762913319156686
Weather,30,32.5,30-35,176,65,0.3693181818181818,0.31806818181818186,0.05124999999999996,0.3015175436119281,0.4427018138670978
Weather,35,37.5,35-40,129,42,0.32558139534883723,0.37023255813953493,-0.044651162790697696,0.25077958524200566,0.41047110731213404
Weather,40,42.5,40-45,122,47,0.38524590163934425,0.41655737704918033,-0.03131147540983609,0.30364856037074855,0.47384950068378345
Weather,45,47.5,45-50,117,61,0.5213675213675214,0.4702564102564103,0.05111111111111111,0.43161781224855794,0.6097586673743535
Weather,50,52.5,50-55,199,128,0.6432160804020101,0.5123115577889448,0.1309045226130653,0.5745216598442496,0.7064857863600792
Weather,55,57.5,55-60,102,55,0.5392156862745098,0.5697058823529412,-0.030490196078431397,0.4428178811663944,0.6327667660800568
Weather,60,62.5,60-65,77,51,0.6623376623376623,0.6179220779220779,0.044415584415584464,0.5512443936389646,0.7580023308197299
Weather,65,67.5,65-70,91,68,0.7472527472527473,0.6690109890109891,0.07824175824175816,0.6492012891565241,0.8252740465611358
Weather,70,72.5,70-75,44,33,0.75,0.7120454545454545,0.03795454545454546,0.6055915019158504,0.8542593391931426
Weather,75,77.5,75-80,78,60,0.7692307692307693,0.7642307692307692,0.0050000000000001155,0.6644403349060594,0.8487461130617223
Weather,80,82.5,80-85,61,50,0.819672131147541,0.8162295081967212,0.0034426229508197626,0.7052560663212193,0.8962096593857343
Weather,85,87.5,85-90,67,61,0.9104477611940298,0.8656716417910448,0.04477611940298498,0.8180703630060067,0.9583096171186658
Weather,90,92.5,90-95,147,142,0.9659863945578231,0.9188435374149659,0.04714285714285715,0.9228517246378743,0.985385790742498
Weather,95,97.5,95-100,5693,5660,0.9942034076936589,0.9868891621289302,0.007314245564728705,0.9918708298541671,0.9958694646978176
World Events,0,2.5,0-5,135,0,0.0,0.013111111111111112,-0.013111111111111112,1.734723475976807e-18,0.027668940720936668
World Events,5,7.5,5-10,12,0,0.0,0.05833333333333333,-0.05833333333333333,0.0,0.2425007574992425
World Events,10,12.5,10-15,7,1,0.14285714285714285,0.11285714285714286,0.029999999999999985,0.02567895594897479,0.51313450331903
World Events,15,17.5,15-20,3,0,0.0,0.16666666666666669,-0.16666666666666669,0.0,0.5615060804490177
World Events,20,22.5,20-25,1,0,0.0,0.2,-0.2,0.0,0.7934567085261071
World Events,25,27.5,25-30,1,1,1.0,0.26,0.74,0.20654329147389294,1.0
World Events,30,32.5,30-35,2,0,0.0,0.325,-0.325,0.0,0.6576280471103807
World Events,35,37.5,35-40,1,1,1.0,0.38,0.62,0.20654329147389294,1.0
World Events,55,57.5,55-60,1,1,1.0,0.55,0.44999999999999996,0.20654329147389294,1.0
World Events,70,72.5,70-75,1,1,1.0,0.72,0.28,0.20654329147389294,1.0
World Events,75,77.5,75-80,1,1,1.0,0.78,0.21999999999999997,0.20654329147389294,1.0
World Events,85,87.5,85-90,5,5,1.0,0.878,0.122,0.5655085052479191,1.0
