platform,liquidity_quintile,liquidity_quintile_label,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,2,Q2 Low-Mid,40,42.5,40-45,1370,425,0.3102189781021898,0.4200948905109489,-0.1098759124087591,0.28628270914476445,0.33521659616088356
kalshi,2,Q2 Low-Mid,45,47.5,45-50,1049,370,0.35271687321258344,0.46920877025738794,-0.1164918970448045,0.3243867183408969,0.3821218390717283
kalshi,2,Q2 Low-Mid,50,52.5,50-55,954,405,0.42452830188679247,0.515943396226415,-0.09141509433962258,0.39352735523789123,0.456134634803051
kalshi,2,Q2 Low-Mid,55,57.5,55-60,627,301,0.4800637958532695,0.5693460925039873,-0.08928229665071774,0.44119795750732915,0.5191724429228264
kalshi,2,Q2 Low-Mid,60,62.5,60-65,519,314,0.605009633911368,0.6185741811175337,-0.013564547206165734,0.5623279411636534,0.6461482015151235
kalshi,2,Q2 Low-Mid,65,67.5,65-70,484,322,0.6652892561983471,0.6687809917355372,-0.003491735537190066,0.622092246291395,0.7058830637272667
kalshi,2,Q2 Low-Mid,70,72.5,70-75,454,357,0.7863436123348018,0.7179735682819383,0.06837004405286351,0.7463182970417047,0.8215636953329507
kalshi,2,Q2 Low-Mid,75,77.5,75-80,550,444,0.8072727272727273,0.7701454545454546,0.037127272727272675,0.7722216018418717,0.8380611938166704
kalshi,2,Q2 Low-Mid,80,82.5,80-85,655,595,0.9083969465648855,0.8194045801526718,0.08899236641221364,0.8838601520917372,0.928171146478359
kalshi,2,Q2 Low-Mid,85,87.5,85-90,885,821,0.927683615819209,0.8707457627118644,0.05693785310734456,0.9087071760918997,0.9429631327685315
kalshi,2,Q2 Low-Mid,90,92.5,90-95,1752,1693,0.966324200913242,0.9229737442922376,0.04335045662100445,0.9568045839357605,0.9738032795526087
