platform,close_month,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,2022-02,90,92.5,90-95,8,8,1.0,0.92125,0.07874999999999999,0.6755843804891231,1.0
kalshi,2022-02,95,97.5,95-100,136,135,0.9926470588235294,0.98625,0.006397058823529478,0.9595261451733299,0.9987008774007824
kalshi,2022-03,0,2.5,0-5,150,0,0.0,0.016399999999999998,-0.016399999999999998,0.0,0.02497113914571871
kalshi,2022-03,5,7.5,5-10,25,0,0.0,0.0708,-0.0708,0.0,0.13319649395317873
kalshi,2022-03,10,12.5,10-15,8,2,0.25,0.11875,0.13125,0.07147768885802763,0.5907301208974108
kalshi,2022-03,15,17.5,15-20,5,0,0.0,0.174,-0.174,0.0,0.43449149475208104
kalshi,2022-03,20,22.5,20-25,6,0,0.0,0.21833333333333332,-0.21833333333333332,0.0,0.3903430336530645
kalshi,2022-03,25,27.5,25-30,1,0,0.0,0.28,-0.28,0.0,0.7934567085261071
kalshi,2022-03,30,32.5,30-35,1,0,0.0,0.3,-0.3,0.0,0.7934567085261071
kalshi,2022-03,35,37.5,35-40,3,1,0.3333333333333333,0.35333333333333333,-0.020000000000000018,0.0614903152761605,0.7923450448735121
kalshi,2022-03,40,42.5,40-45,4,1,0.25,0.425,-0.175,0.045586062644636216,0.6993639475573634
kalshi,2022-03,45,47.5,45-50,4,1,0.25,0.4625,-0.21250000000000002,0.045586062644636216,0.6993639475573634
kalshi,2022-03,55,57.5,55-60,2,0,0.0,0.57,-0.57,0.0,0.6576280471103807
kalshi,2022-03,60,62.5,60-65,2,1,0.5,0.62,-0.12,0.09452865480086614,0.9054713451991339
kalshi,2022-03,65,67.5,65-70,1,0,0.0,0.66,-0.66,0.0,0.7934567085261071
kalshi,2022-03,70,72.5,70-75,2,1,0.5,0.73,-0.22999999999999998,0.09452865480086614,0.9054713451991339
kalshi,2022-03,75,77.5,75-80,3,1,0.3333333333333333,0.76,-0.4266666666666667,0.0614903152761605,0.7923450448735121
