category_group,category_mid,horizon_label,horizon_hours,freshness_filter,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,baseline_market_count,retained_share
Finance,Economic Indicators,1d,24.0,all,2005,20,0.02278304239401497,-0.005296758104738155,0.0009191759112519776,0.004727838258164841,2005,1.0
Finance,Economic Indicators,1d,24.0,<=24h,1141,20,0.039851007887817716,-0.024951796669588088,-0.019685314685314693,-0.020622950819672168,2005,0.569077306733167
Finance,Economic Indicators,6h,6.0,all,2040,20,0.01564215686274509,-0.0022500000000000024,-0.00019145802650957368,0.008411497730711025,2040,1.0
Finance,Economic Indicators,6h,6.0,<=24h,1427,20,0.023861247372109318,-0.011317449194113517,-0.01146987951807229,0.0022033898305084828,2040,0.6995098039215686
Finance,Economic Indicators,1h,1.0,all,2040,20,0.01670588235294117,-0.0041274509803921455,-0.000504451038575665,0.0048798798798799035,2040,1.0
Finance,Economic Indicators,1h,1.0,<=24h,1428,20,0.025182072829131638,-0.013935574229691898,-0.01288834951456311,-0.0033812949640288177,2040,0.7
Finance,Forex,6h,6.0,all,3146,20,0.051471710108073734,0.01805149396058486,0.02889248704663212,-0.33252100840336135,3146,1.0
Finance,Forex,6h,6.0,<=6h,1589,20,0.0305412208936438,0.007432347388294515,0.0016946564885496178,-0.16318181818181818,3146,0.5050858232676414
Finance,Forex,6h,6.0,<=24h,3070,20,0.04949511400651467,0.021332247557003255,0.030449061662198393,-0.28719626168224305,3146,0.9758423394787031
Finance,Forex,1h,1.0,all,5094,20,0.044218688653317635,-0.011442873969375735,-0.010383428823270162,-0.09694444444444439,5094,1.0
Finance,Forex,1h,1.0,<=1h,2794,20,0.029831782390837513,0.005658554044380823,-0.013354430379746835,-0.003066037735849073,5094,0.5484884177463683
Finance,Forex,1h,1.0,<=6h,3790,20,0.04230343007915568,-0.007432717678100258,-0.01594038325053229,-0.05067055393586004,5094,0.7440125638005497
Finance,Forex,1h,1.0,<=24h,5036,20,0.04229944400317713,-0.008955520254169975,-0.009897045658012532,-0.0745083932853717,5094,0.9886140557518649
Finance,NASDAQ,3d,72.0,all,1295,14,0.02369884169884169,-0.002803088803088803,0.004198275862068964,-0.31666666666666665,1295,1.0
Finance,NASDAQ,1d,24.0,all,2460,20,0.019390243902439035,0.008162601626016262,0.00764462809917356,-0.011044776119403068,2460,1.0
Finance,NASDAQ,1d,24.0,<=24h,1334,20,0.023448275862068962,0.001904047976011994,0.006814903846153846,-0.01857142857142862,2460,0.5422764227642276
Finance,NASDAQ,6h,6.0,all,9918,20,0.015123008671103054,0.005163339382940121,0.0033786944503508445,-0.006566147859922155,9918,1.0
Finance,NASDAQ,6h,6.0,<=1h,7689,20,0.014801664715827792,0.006431265444140978,0.00692672141503474,-0.015736040609137036,9918,0.7752571082879612
Finance,NASDAQ,6h,6.0,<=6h,8596,20,0.014705677059097257,0.008016519311307585,0.006773841961852862,-0.00852459016393441,9918,0.8667069973785038
Finance,NASDAQ,6h,6.0,<=24h,9307,20,0.01595895562479854,0.006166326420973452,0.004698824094072475,-0.007973921765295953,9918,0.9383948376688849
Finance,NASDAQ,1h,1.0,all,11537,20,0.02421080003467105,-0.006022362832625479,-0.01664678899082569,0.018022738507167513,11537,1.0
Finance,NASDAQ,1h,1.0,<=1h,6297,20,0.022856915991742093,-0.0029903128473876463,-0.010055478502080445,-0.0003440621531631526,11537,0.545809135823871
Finance,NASDAQ,1h,1.0,<=6h,10484,20,0.023206791301030136,-0.005244181610072492,-0.015589680589680589,0.016620689655172417,11537,0.9087284389355985
Finance,NASDAQ,1h,1.0,<=24h,11006,20,0.023776122115209887,-0.005220788660730507,-0.01583237089589177,0.017660642570281156,11537,0.9539741700615412
Finance,S&P 500,3d,72.0,all,1647,18,0.02862780813600485,-0.007170613236187007,0.004049323786793955,0.04923076923076924,1647,1.0
Finance,S&P 500,3d,72.0,<=24h,1147,18,0.02701830863121186,-0.012789886660854401,-0.0022128174123337337,0.04999999999999998,1647,0.6964177292046144
Finance,S&P 500,1d,24.0,all,3072,20,0.018994140625,-0.004169921875000003,-0.011903526970954358,-0.008740740740740764,3072,1.0
Finance,S&P 500,1d,24.0,<=6h,1336,20,0.016347305389221554,-0.0010179640718562897,-0.002914438502673793,-0.018888888888888913,3072,0.4348958333333333
Finance,S&P 500,1d,24.0,<=24h,1857,20,0.01407646742057081,-0.001777059773828754,-0.0034608208955223875,-0.05104166666666667,3072,0.6044921875
Finance,S&P 500,6h,6.0,all,10958,20,0.012326154407738654,-0.002032305165176126,-0.00669927607121894,0.004746835443037967,10958,1.0
Finance,S&P 500,6h,6.0,<=1h,8339,20,0.010426909701403045,-0.0006391653675500615,-0.0012499999999999983,-0.004347826086956486,10958,0.7609965322139076
Finance,S&P 500,6h,6.0,<=6h,9302,20,0.010667598365942816,-0.00036228768006881033,-0.002861979166666665,0.003241206030150707,10958,0.8488775323964227
Finance,S&P 500,6h,6.0,<=24h,10238,20,0.010805821449501856,-0.00020414143387379764,-0.003314056939501777,0.0037344093910492097,10958,0.9342945793027925
Finance,S&P 500,1h,1.0,all,11982,20,0.024219662827574703,-0.00943081288599565,-0.01695702336313816,0.02009105960264906,11982,1.0
Finance,S&P 500,1h,1.0,<=1h,6596,20,0.020742874469375377,-0.007647058823529408,-0.00979215554810593,0.010861774744027337,11982,0.5504924052745785
Finance,S&P 500,1h,1.0,<=6h,10574,20,0.02379421221864952,-0.008882163797995071,-0.015914791272977152,0.020064308681672055,11982,0.8824904022700718
Finance,S&P 500,1h,1.0,<=24h,11305,20,0.023491375497567444,-0.008243255196815569,-0.01561256709820019,0.020097210481825854,11982,0.9434985812051411
Sports,Golf,3d,72.0,all,2977,18,0.014098085320792741,-0.0073328854551561965,-0.007921171956749216,0.07499999999999998,2977,1.0
Sports,Golf,3d,72.0,<=6h,1771,18,0.015974025974025974,-0.005110107284020325,-0.00600830367734282,0.07499999999999998,2977,0.5948941887806517
Sports,Golf,3d,72.0,<=24h,2630,18,0.013756653992395437,-0.0071787072243346016,-0.007347585114806018,0.07499999999999998,2977,0.8834397044004031
Sports,Golf,1d,24.0,all,3333,20,0.019774977497749775,-0.012760276027602761,-0.013703824779339652,-0.03750000000000004,3333,1.0
Sports,Golf,1d,24.0,<=6h,1044,20,0.033955938697318014,-0.010986590038314176,-0.01899769585253456,-0.012857142857142853,3333,0.3132313231323132
Sports,Golf,1d,24.0,<=24h,1649,20,0.028053365676167372,-0.015112189205579142,-0.015239456754824875,0.012631578947368374,3333,0.49474947494749477
Sports,Golf,6h,6.0,all,3465,20,0.020516594516594513,-0.012909090909090905,-0.01378812199036918,0.0427027027027027,3465,1.0
Sports,Golf,6h,6.0,<=24h,1491,20,0.0308316566063045,-0.013474178403755869,-0.015498699045967044,0.04361111111111107,3465,0.4303030303030303
Sports,Golf,1h,1.0,all,3506,20,0.020253850541928128,-0.015519110096976608,-0.014274143302180686,0.02000000000000008,3506,1.0
Sports,Golf,1h,1.0,<=6h,1090,20,0.034211009174311934,-0.019532110091743122,-0.016790123456790124,0.020666666666666677,3506,0.31089560752994866
Sports,Golf,1h,1.0,<=24h,1427,20,0.03033637000700771,-0.019011913104414854,-0.016927129060579457,0.020421052631579,3506,0.4070165430690245
Sports,MLB,6h,6.0,all,5460,20,0.028514652014652003,-0.004752747252747249,0.002187500000000002,-0.004255319148936179,5460,1.0
Sports,MLB,6h,6.0,<=1h,4740,20,0.031873417721518985,-0.006198312236286911,-0.0034615384615384647,-0.01645161290322578,5460,0.8681318681318682
Sports,MLB,6h,6.0,<=6h,5075,20,0.030803940886699483,-0.003804926108374377,0.027368421052631584,-0.003636363636363599,5460,0.9294871794871795
Sports,MLB,6h,6.0,<=24h,5152,20,0.030527950310558997,-0.003552018633540371,0.03510638297872341,-0.016736842105263185,5460,0.9435897435897436
Sports,MLB,1h,1.0,all,5612,20,0.02254098360655737,-0.008734853884533149,-0.0158475073313783,0.014029850746268637,5612,1.0
Sports,MLB,1h,1.0,<=1h,5128,20,0.021037441497659903,-0.0061310452418096816,-0.014402017291066284,0.015040590405904029,5612,0.9137562366357804
Sports,MLB,1h,1.0,<=6h,5270,20,0.02251612903225806,-0.007688804554079696,-0.015378787878787884,0.015331432644333575,5612,0.9390591589451176
Sports,MLB,1h,1.0,<=24h,5330,20,0.022300187617260787,-0.008071294559099435,-0.015386702849389422,0.013967921896792202,5612,0.9497505345687812
Sports,NBA,1d,24.0,all,1990,20,0.03307537688442212,-0.01284422110552765,-0.002857142857142858,-0.024652406417112364,1990,1.0
Sports,NBA,1d,24.0,<=1h,1340,20,0.041932835820895534,-0.011499999999999991,-0.0001449275362318858,0.013913043478260926,1990,0.6733668341708543
Sports,NBA,1d,24.0,<=6h,1693,20,0.03865918487891319,-0.013319551092734801,0.0318348623853211,-0.03972413793103452,1990,0.8507537688442212
Sports,NBA,1d,24.0,<=24h,1774,20,0.03691093573844419,-0.013235625704622323,0.021985294117647058,-0.03955414012738855,1990,0.8914572864321608
Sports,NBA,6h,6.0,all,6400,20,0.016596875,-0.011950000000000006,-0.016883910386965375,-0.01677966101694914,6400,1.0
Sports,NBA,6h,6.0,<=1h,3584,20,0.022619977678571445,-0.008540736607142862,-0.038288590604026854,0.027042253521126765,6400,0.56
Sports,NBA,6h,6.0,<=6h,5731,20,0.017068574419822017,-0.011055662188099799,-0.02651933701657458,-0.009561403508771901,6400,0.89546875
Sports,NBA,6h,6.0,<=24h,6234,20,0.01673564324671158,-0.012327558549887721,-0.015944380069524918,-0.017236363636363623,6400,0.9740625
Sports,NBA,1h,1.0,all,10332,20,0.036310491676345334,-0.024957413859852895,-0.007549599721545422,-0.007266143633071853,10332,1.0
Sports,NBA,1h,1.0,<=1h,6586,20,0.02589128454296995,-0.004791982994230187,0.013395721925133691,-0.003278805120910453,10332,0.6374370886566009
Sports,NBA,1h,1.0,<=6h,9468,20,0.03675116180819602,-0.024288128432615113,-0.00336889618383258,-0.007431761786600444,10332,0.9163763066202091
Sports,NBA,1h,1.0,<=24h,10201,20,0.03686109204979903,-0.02522105675914126,-0.007131502890173411,-0.007614120511259858,10332,0.9873209446380178
Sports,NCAA Basketball,1d,24.0,all,1780,20,0.03813483146067414,-0.025033707865168515,-0.019957686882933708,-0.007895878524945681,1780,1.0
Sports,NCAA Basketball,1d,24.0,<=6h,1272,20,0.03448899371069181,-0.01977201257861635,-0.013542234332425072,-0.011092436974789902,1780,0.7146067415730337
Sports,NCAA Basketball,1d,24.0,<=24h,1431,20,0.036680642907058,-0.02087351502445842,-0.016666666666666666,-0.008755760368663573,1780,0.803932584269663
Sports,NCAA Basketball,6h,6.0,all,4098,20,0.024858467545143956,-0.022276720351390923,-0.004899408284023668,-0.0244166666666666,4098,1.0
Sports,NCAA Basketball,6h,6.0,<=1h,2277,20,0.03188844971453668,-0.01981115502854632,-0.007240618101545255,0.0006133333333333777,4098,0.5556368960468521
Sports,NCAA Basketball,6h,6.0,<=6h,3460,20,0.026650289017341042,-0.018893063583815022,-0.004156862745098035,-0.009227871939736391,4098,0.8443142996583699
Sports,NCAA Basketball,6h,6.0,<=24h,3766,20,0.027124269782262338,-0.020305363781200205,0.006037383177570098,-0.023038397328881403,4098,0.9189848706686189
Sports,NCAA Basketball,1h,1.0,all,9512,20,0.019387089991589574,-0.008661690496215308,0.008493535694210231,-0.01684012324546389,9512,1.0
Sports,NCAA Basketball,1h,1.0,<=1h,7300,20,0.017478082191780816,-0.00653561643835616,0.0075289706884798906,-0.011782642689601238,9512,0.7674516400336417
Sports,NCAA Basketball,1h,1.0,<=6h,8974,20,0.018997102741252526,-0.005391129930911538,0.010881713753492703,-0.014012495661228787,9512,0.9434398654331371
Sports,NCAA Basketball,1h,1.0,<=24h,9179,20,0.020381305153066777,-0.007360278897483391,0.011579919926085615,-0.016554794520547957,9512,0.9649915895710681
Sports,NCAA Football,7d,168.0,all,1331,20,0.04296018031555222,-0.03436513899323819,-0.0580891719745223,-0.005912408759124161,1331,1.0
Sports,NCAA Football,7d,168.0,<=24h,1132,20,0.045918727915194336,-0.032049469964664325,-0.05467625899280577,-0.010999999999999989,1331,0.850488354620586
Sports,NCAA Football,3d,72.0,all,2855,20,0.02376182136602452,-0.007117338003502639,-0.02028268551236749,-0.005474006116207969,2855,1.0
Sports,NCAA Football,3d,72.0,<=1h,1047,20,0.02978987583572109,-0.001041069723018167,-0.014358974358974362,0.027570093457943867,2855,0.3667250437828371
Sports,NCAA Football,3d,72.0,<=6h,1852,20,0.030539956803455733,-0.0037257019438444966,-0.02242290748898679,0.012038834951456317,2855,0.6486865148861646
Sports,NCAA Football,3d,72.0,<=24h,2411,20,0.027055163832434663,-0.002700124429697241,-0.024763779527559055,0.021322957198443595,2855,0.8444833625218914
Sports,NCAA Football,1d,24.0,all,5808,20,0.018595041322314067,0.0006542699724517903,0.00429411764705883,-0.023913043478260922,5808,1.0
Sports,NCAA Football,1d,24.0,<=1h,2175,20,0.025108045977011505,0.0018896551724137847,-0.015545851528384282,0.02508021390374339,5808,0.3744834710743802
Sports,NCAA Football,1d,24.0,<=6h,3710,20,0.019512129380053905,0.008309973045822108,-0.0018965517241379289,-0.00028368794326245883,5808,0.6387741046831956
Sports,NCAA Football,1d,24.0,<=24h,4891,20,0.01592107953383765,0.003154774074831319,-0.0038511326860841406,-0.005935483870967742,5808,0.8421143250688705
Sports,NCAA Football,6h,6.0,all,10507,20,0.013419625011896804,-0.005238412486913465,0.018565217391304345,-0.017728337236533952,10507,1.0
Sports,NCAA Football,6h,6.0,<=1h,5841,20,0.018063687724704684,-0.008311932888204072,0.011290322580645157,-0.007072368421052662,10507,0.5559151042162368
Sports,NCAA Football,6h,6.0,<=6h,8820,20,0.016490929705215398,-0.006919501133786835,0.015271317829457372,-0.017249357326478146,10507,0.8394403730846103
