category_group,horizon_label,horizon_hours,freshness_filter,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
Politics,1h,1.0,all,90,92.5,90-95,71,68,0.9577464788732394,0.9219718309859155,0.035774647887323874,0.8829739389031531,0.9855270017501733
Politics,1h,1.0,all,95,97.5,95-100,2505,2500,0.998003992015968,0.9875009980039919,0.010502994011976075,0.9953357268150159,0.9991471452802171
Politics,1h,1.0,<=1h,0,2.5,0-5,1034,3,0.0029013539651837525,0.012620889748549323,-0.00971953578336557,0.0009871842503161735,0.00849557304135531
Politics,1h,1.0,<=1h,5,7.5,5-10,84,3,0.03571428571428571,0.06404761904761905,-0.028333333333333335,0.01221944777306612,0.09981858432106694
Politics,1h,1.0,<=1h,10,12.5,10-15,45,5,0.1111111111111111,0.11555555555555555,-0.004444444444444445,0.04840400437825558,0.23499375490890945
Politics,1h,1.0,<=1h,15,17.5,15-20,47,5,0.10638297872340426,0.1695744680851064,-0.06319148936170214,0.046304099555199416,0.22594539692012788
Politics,1h,1.0,<=1h,20,22.5,20-25,32,9,0.28125,0.2146875,0.0665625,0.15564406845647866,0.4537483693811179
Politics,1h,1.0,<=1h,25,27.5,25-30,28,9,0.32142857142857145,0.26785714285714285,0.0535714285714286,0.1793304754342074,0.5066149544436882
Politics,1h,1.0,<=1h,30,32.5,30-35,22,6,0.2727272727272727,0.3145454545454545,-0.04181818181818181,0.1315058201581444,0.4815212369900198
Politics,1h,1.0,<=1h,35,37.5,35-40,24,11,0.4583333333333333,0.36791666666666667,0.09041666666666665,0.2789105835168143,0.6492544644689336
Politics,1h,1.0,<=1h,40,42.5,40-45,19,3,0.15789473684210525,0.42,-0.26210526315789473,0.055203710399278266,0.3756592764317668
Politics,1h,1.0,<=1h,45,47.5,45-50,16,4,0.25,0.4675,-0.21750000000000003,0.10181901984237346,0.49498768929398645
Politics,1h,1.0,<=1h,50,52.5,50-55,16,5,0.3125,0.513125,-0.20062500000000005,0.14164435051961052,0.5559606813326594
Politics,1h,1.0,<=1h,55,57.5,55-60,10,4,0.4,0.565,-0.16499999999999992,0.16817758120350967,0.6873304525498135
Politics,1h,1.0,<=1h,60,62.5,60-65,18,9,0.5,0.6216666666666666,-0.12166666666666659,0.2903070395897999,0.7096929604102
Politics,1h,1.0,<=1h,65,67.5,65-70,20,11,0.55,0.6705,-0.12049999999999994,0.3420820083075997,0.7418049791429071
Politics,1h,1.0,<=1h,70,72.5,70-75,14,10,0.7142857142857143,0.717857142857143,-0.0035714285714286698,0.4535045882751561,0.882788120898909
Politics,1h,1.0,<=1h,75,77.5,75-80,10,6,0.6,0.759,-0.15900000000000003,0.3126695474501864,0.8318224187964902
Politics,1h,1.0,<=1h,80,82.5,80-85,19,16,0.8421052631578947,0.8163157894736842,0.025789473684210473,0.6243407235682331,0.9447962896007217
Politics,1h,1.0,<=1h,85,87.5,85-90,21,18,0.8571428571428571,0.8752380952380951,-0.018095238095238053,0.6536350585077049,0.950190782017865
Politics,1h,1.0,<=1h,90,92.5,90-95,37,35,0.9459459459459459,0.9202702702702703,0.025675675675675635,0.822950349364601,0.9850493372294601
Politics,1h,1.0,<=1h,95,97.5,95-100,1111,1108,0.9972997299729973,0.9878577857785779,0.00944194419441946,0.9920909333654918,0.9990812654473261
Politics,1h,1.0,<=6h,0,2.5,0-5,1713,3,0.0017513134851138354,0.012440163455925277,-0.010688849970811442,0.0005957686442460606,0.005136618082636605
Politics,1h,1.0,<=6h,5,7.5,5-10,118,4,0.03389830508474576,0.0647457627118644,-0.030847457627118637,0.01325961911756434,0.08392886166404062
Politics,1h,1.0,<=6h,10,12.5,10-15,59,5,0.0847457627118644,0.11677966101694916,-0.032033898305084754,0.036741491306199775,0.1835202461416055
Politics,1h,1.0,<=6h,15,17.5,15-20,53,7,0.1320754716981132,0.16962264150943399,-0.03754716981132078,0.06547770200689572,0.2484050880623493
